City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,hecun,36.5333,114.1111,13.050000000000011,45,0,2.5,CN,1680973166
98,gizo,-8.103,156.8419,27.879999999999995,78,95,3.09,SB,1680973166
99,beitbridge,-22.2167,30.0,29.25,26,1,2.72,ZW,1680973166
100,villazon,-22.0866,-65.5942,13.850000000000023,36,5,0.45,BO,1680973167
101,vaini,-21.2,-175.2,26.090000000000032,94,75,2.06,TO,1680973168
102,pangkalanbuun,-2.6833,111.6167,23.5,94,100,1.29,ID,1680973168
103,black river,18.0264,-77.8487,28.860000000000014,53,1,4.13,JM,1680973168
104,sychevka,55.8252,34.2736,7.240000000000009,57,9,1.78,RU,1680973169
105,dawlatabad,36.4141,64.9053,21.53000000000003,41,73,2.49,AF,1680973169
106,staryy nadym,65.6118,72.6842,-27.639999999999986,97,23,2.07,RU,1680973169
107,mikkeli,61.6886,27.2723,8.060000000000002,49,0,1.54,FI,1680973169
108,karratha,-20.7377,116.8463,28.54000000000002,48,46,4.32,AU,1680973170
109,klaksvik,62.2266,-6.589,9.510000000000048,87,95,12.18,FO,1680973170
110,lodeynoye pole,60.726,33.5531,-0.17999999999994998,97,9,1.38,RU,1680972946
111,cozumel,20.5083,-86.9458,29.970000000000027,61,0,4.02,MX,1680973171
112,sivaki,52.6333,126.75,0.28000000000002956,46,67,5.48,RU,1680973171
113,marica,-22.9194,-42.8186,24.950000000000045,88,98,5.33,BR,1680972958
114,sechura,-5.5569,-80.8222,29.410000000000025,63,76,1.91,PE,1680973172
115,luderitz,-26.6481,15.1594,17.200000000000045,63,100,13.31,NA,1680973172
116,lagoa,39.05,-27.9833,14.310000000000002,67,100,11.14,PT,1680973172
117,varberg,57.1056,12.2508,13.460000000000036,69,93,3.01,SE,1680973172
118,roberval,48.5168,-72.2324,-1.75,54,75,2.06,CA,1680973173
119,urubicha,-15.3833,-62.95,27.840000000000032,52,95,2.9,BO,1680973173
120,hamilton,39.1834,-84.5333,12.090000000000032,39,100,7.72,US,1680973080
121,harsin,34.2721,47.5861,16.450000000000045,44,64,1.94,IR,1680973174
122,ouro preto,-20.3948,-43.5052,23.150000000000034,76,86,1.48,BR,1680973174
123,pitimbu,-7.4706,-34.8086,30.33000000000004,69,88,4.56,BR,1680973174
124,camana,-16.6228,-72.7111,25.5,64,7,3.55,PE,1680973175
125,nishihara,26.1842,127.7558,15.600000000000023,59,20,4.63,JP,1680973175
126,sao joao da barra,-21.6403,-41.0511,30.05000000000001,75,77,1.52,BR,1680973175
127,alamosa,37.4695,-105.87,7.990000000000009,31,0,2.57,US,1680973062
128,shingu,33.7333,135.9833,6.860000000000014,60,0,2.26,JP,1680973176
129,nikolskoye,59.7035,30.7861,9.939999999999998,95,29,2.06,RU,1680973176
130,paranhos,-23.8928,-55.4311,26.210000000000036,62,50,1.5,BR,1680973177
131,chumikan,54.7183,135.315,-11.67999999999995,98,100,0.48,RU,1680973177
132,genhe,50.7833,121.5167,-0.9899999999999523,74,81,0.26,CN,1680973178
133,ossora,59.2353,163.0719,-7.759999999999991,95,100,2.58,RU,1680973178
134,jalu,29.0331,21.5482,25.110000000000014,28,16,2.58,LY,1680973178
135,mahanje,-9.9333,35.3333,19.05000000000001,96,87,1.38,TZ,1680973179
136,eureka,40.8021,-124.1637,11.78000000000003,84,100,0.89,US,1680973021
137,camara de lobos,32.6333,-16.9667,20.07000000000005,69,75,3.09,PT,1680973179
138,alofi,-19.0595,-169.9187,22.939999999999998,94,40,1.54,NU,1680973179
139,adrar,20.5022,-10.0711,32.56,12,94,4.26,MR,1680973179
140,novyy urengoy,66.0833,76.6333,-27.149999999999977,91,6,4.82,RU,1680973180
141,longyearbyen,78.2186,15.6401,-8.089999999999975,73,75,8.23,SJ,1680973180
142,kimbe,-5.5502,150.1429,24.060000000000002,95,100,0.9,PG,1680973180
143,port arthur,38.8,121.2667,12.120000000000005,65,4,5.68,CN,1680973180
144,carnarvon,-24.8667,113.6333,21.890000000000043,67,1,5.92,AU,1680973180
145,boden,65.8252,21.6886,6.0,98,98,3.0,SE,1680973181
146,nanortalik,60.1432,-45.2371,-0.6599999999999682,79,100,1.42,GL,1680973181
147,keuruu,62.2667,24.7,8.100000000000023,98,56,0.85,FI,1680973181
148,dalbandin,28.8947,64.4101,23.610000000000014,28,52,3.48,PK,1680973181
149,pisco,-13.7,-76.2167,26.680000000000007,78,20,4.12,PE,1680973181
150,nalut,30.3333,10.85,22.54000000000002,28,7,5.64,LY,1680973181
151,manadhoo,5.7667,73.3833,28.879999999999995,70,75,4.48,MV,1680973182
152,nybro,56.7446,15.9071,6.800000000000011,67,20,3.86,SE,1680973182
153,atikokan,48.7555,-91.6216,1.8100000000000023,87,5,3.17,CA,1680973182
154,kysyl-syr,63.8986,122.7617,-20.94999999999999,96,99,2.64,RU,1680973182
155,sitka,57.0531,-135.33,4.670000000000016,84,94,3.81,US,1680973183
156,vila velha,-20.3297,-40.2925,32.97000000000003,72,40,2.57,BR,1680973183
157,lucapa,-8.4192,20.7447,19.58000000000004,95,95,2.25,AO,1680973183
158,aklavik,68.2191,-135.0107,-23.99999999999997,84,40,2.06,CA,1680973183
159,khandyga,62.6667,135.6,-7.259999999999991,79,100,3.31,RU,1680973183
160,hofn,64.2539,-15.2082,6.100000000000023,89,98,1.96,IS,1680973184
161,abu samrah,35.3029,37.1841,18.33000000000004,29,98,2.93,SY,1680973184
162,entre rios,-11.9419,-38.0844,27.99000000000001,72,98,2.89,BR,1680973184
163,llangefni,53.2556,-4.3106,14.25,55,75,4.12,GB,1680973184
164,hobart,-42.8794,147.3294,7.920000000000016,83,75,5.66,AU,1680973184
165,victoria,22.2855,114.1577,20.74000000000001,82,57,7.16,HK,1680973184
166,kodiak,57.79,-152.4072,-2.349999999999966,65,100,4.76,US,1680973185
167,bahia blanca,-38.7196,-62.2724,28.79000000000002,36,27,4.92,AR,1680973185
168,sulangan,11.1373,123.7228,27.02000000000004,79,78,8.64,PH,1680973185
169,kaitangata,-46.2817,169.8464,10.520000000000039,68,100,3.82,NZ,1680973185
170,ryotsu,38.0833,138.4333,5.210000000000036,57,80,11.11,JP,1680973186
171,bubaque,11.2833,-15.8333,25.730000000000018,71,54,8.9,GW,1680973186
172,mezen,65.8522,44.24,0.8799999999999955,87,100,4.3,RU,1680973186
173,qaqortoq,60.7167,-46.0333,-0.5199999999999818,79,79,1.41,GL,1680973186
174,rock sound,24.9,-76.2,24.400000000000034,78,3,5.94,BS,1680973115
175,popondetta,-8.7537,148.2534,23.420000000000016,91,100,1.26,PG,1680973186
176,port lincoln,-34.7333,135.8667,16.100000000000023,69,91,4.69,AU,1680973187
177,souillac,-20.5167,57.5167,26.210000000000036,89,40,3.6,MU,1680973187
178,pacific grove,36.6177,-121.9166,14.680000000000007,86,75,0.89,US,1680972976
179,malanville,11.8685,3.3899,40.76000000000005,11,72,2.85,BJ,1680973187
180,soyo,-6.1349,12.3689,28.129999999999995,80,87,4.89,AO,1680973187
181,erenhot,43.6475,111.9767,7.5400000000000205,20,4,5.38,CN,1680973187
182,san jeronimo,-11.9472,-75.2829,13.120000000000005,68,99,1.76,PE,1680973188
183,dingle,10.9995,122.6711,24.03000000000003,84,74,2.71,PH,1680973188
184,independence,39.0911,-94.4155,17.29000000000002,25,2,3.13,US,1680973188
185,mount darwin,-16.7725,31.5838,21.379999999999995,60,84,1.5,ZW,1680973188
186,hithadhoo,-0.6,73.0833,28.189999999999998,65,24,0.92,MV,1680973188
187,grand forks,47.9417,-97.4337,-7.039999999999964,93,0,1.54,US,1680973188
188,kinlochleven,56.7115,-4.9661,14.600000000000023,51,82,4.76,GB,1680973188
